standard_number,title,scope_description,category,latest_version,year_published,source,needs_review,review_reason
IS 2911-2,"Code of practice for design and construction of pile foundations, Part 2: Timber piles","Code of practice for design and construction of pile foundations, Part 2: Timber piles",Cement & Construction,Amendments: 1,1980,archive_org_bis,False,
IS 12567,Pneumatic handling equipment - Bends - Dimensions,Pneumatic handling equipment - Bends - Dimensions,Mechanical,,1989,archive_org_bis,True,scope_too_short (7 words)
IS 12614-1,"Methods of Chemical Analysis of Ferromolybdenum, Part 1: Determination of Molybdenum","Methods of Chemical Analysis of Ferromolybdenum, Part 1: Determination of Molybdenum",Chemicals,,1988,archive_org_bis,False,
IS 12614-4,"Methods of Chemical Analysis of Ferro-molybdenum, Part 4: Determination of Sulphur","Methods of Chemical Analysis of Ferro-molybdenum, Part 4: Determination of Sulphur",Chemicals,,1988,archive_org_bis,False,
IS 12451,Margarine,Margarine,Food & Agriculture,Amendments: 2,1988,archive_org_bis,True,scope_too_short (1 words)
IS 12452,Code of practice for packaging of microscopes for export,Code of practice for packaging of microscopes for export,Mechanical,,1988,archive_org_bis,True,scope_too_short (9 words)
IS 12473-5,"Chemical Analysis of Hardmetals by Flame Atomic Absorption Spectrometry, Part 5: Determination of cobalt, iron, manganese, molybdenum, nickel, titanium and vanadium in contents from 0.5 to 2 percent (","Chemical Analysis of Hardmetals by Flame Atomic Absorption Spectrometry, Part 5: Determination of cobalt, iron, manganese, molybdenum, nickel, titanium and vanadium in contents from 0.5 to 2 percent (m/m)",Chemicals,,1988,archive_org_bis,False,
IS 3063,Fasteners - Single coil rectangular section spring lock washers,Fasteners - Single coil rectangular section spring lock washers,Mechanical,Amendments: 1,1994,archive_org_bis,True,scope_too_short (9 words)
IS 3064,Hand made drawing paper,Hand made drawing paper,Chemicals,Amendments: 2,1986,archive_org_bis,True,scope_too_short (4 words)
IS 3075-2,"Circlips, Part 2: For Bores","Circlips, Part 2: For Bores",Mechanical,Amendments: 1,1986,archive_org_bis,True,scope_too_short (5 words)
IS 3141,Starter Motors for internal combustion engines used for automotive and other applications,Starter Motors for internal combustion engines used for automotive and other applications,Mechanical,,2007,archive_org_bis,False,
IS 3156-3,"Voltage transformers, Part 3: Protective voltage transformers","Voltage transformers, Part 3: Protective voltage transformers",Electrical,,1992,archive_org_bis,True,scope_too_short (7 words)
IS 3160 : 2022,Tur Chuni as Livestock Feed Ingredient-Specification,Tur Chuni as Livestock Feed Ingredient-Specification,Uncategorized,Amendments: 0,2022,archive_org_bis,True,scope_too_short (6 words)
IS 3170-1,"Internal Combustion Engines - Fuel Injection Nozzles, Part 1: Injection Nozzles - Size 'S'","Internal Combustion Engines - Fuel Injection Nozzles, Part 1: Injection Nozzles - Size 'S'",Mechanical,,2006,archive_org_bis,False,
IS 326-11,Methods of test for natural and synthetic perfumery materials (Part 11) Determination of carbonyl value and content of carbonyl compounds,Methods of test for natural and synthetic perfumery materials (Part 11) Determination of carbonyl value and content of carbonyl compounds,Petroleum,,1986,archive_org_bis,False,
IS 326-19,"Method of Sampling and Test for Natural and Synthetic Perfumery Materials, Part 19: GAS Chromatograpfilc Analysis of Perfumery Materials","Method of Sampling and Test for Natural and Synthetic Perfumery Materials, Part 19: GAS Chromatograpfilc Analysis of Perfumery Materials",Petroleum,,1998,archive_org_bis,False,
IS 326-21,"Methods of Sampling and Test for Natural and Sythetic Perfumery Materials, Part 21: Determination of Water Content - Karl Fischer Method","Methods of Sampling and Test for Natural and Sythetic Perfumery Materials, Part 21: Determination of Water Content - Karl Fischer Method",Petroleum,,2001,archive_org_bis,False,
IS 3262 : 2023,Textiles - Pilot Lead Line - Specification,Textiles - Pilot Lead Line - Specification,Textiles,Amendments: 0,2023,archive_org_bis,True,scope_too_short (7 words)
IS 327,Oil of Lemongrass,Oil of Lemongrass,Petroleum,Amendments: 1,1991,archive_org_bis,True,scope_too_short (3 words)
IS 3279,General requirements for mushroom ventilators,General requirements for mushroom ventilators,Mechanical,,1966,archive_org_bis,True,scope_too_short (5 words)
IS 3288-1,"Glossary of Terms Relating to Copper and Copper Alloys, Part 1: Materials","Glossary of Terms Relating to Copper and Copper Alloys, Part 1: Materials",Mechanical,,1986,archive_org_bis,False,
IS 3312 : 2021,Steel Shelving Cabinets ( Adjustable Type ) - Specification ( Third Revision ),Steel Shelving Cabinets ( Adjustable Type ) - Specification ( Third Revision ),Metallurgy,Amendments: 0,2021,archive_org_bis,False,
IS 3318,General requirements for surgical scalpels and knives,General requirements for surgical scalpels and knives,Medical & Healthcare,Amendments: 1,1965,archive_org_bis,True,scope_too_short (7 words)
IS 3322-1,"Water-resistant clothing, Part 1: PVC-coated fabrics","Water-resistant clothing, Part 1: PVC-coated fabrics",Petroleum,,1987,archive_org_bis,True,scope_too_short (6 words)
IS 3326,Cotton Stockinette,Cotton Stockinette,Textiles,Amendments: 3,1978,archive_org_bis,True,scope_too_short (2 words)
IS 3179,Engineering metrology - Feeler gauges,Engineering metrology - Feeler gauges,Mechanical,,1990,archive_org_bis,True,scope_too_short (5 words)
IS 3188,Characteristics of string insulator units,Characteristics of string insulator units,Electrical,,1980,archive_org_bis,True,scope_too_short (5 words)
IS 3212,"Engineers' drawings instruments, lengthening bars","Engineers' drawings instruments, lengthening bars",Mechanical,,1991,archive_org_bis,True,scope_too_short (5 words)
IS 12767,Liquid soap for cleaning painted surfaces,Liquid soap for cleaning painted surfaces,Chemicals,,1989,archive_org_bis,True,scope_too_short (6 words)
IS 12771,General characteristics for nuclear reactor instrumentation,General characteristics for nuclear reactor instrumentation,Electronics,,1989,archive_org_bis,True,scope_too_short (6 words)
IS 12778,"Hot Rolled Parallel Flange Steel Sections for Beams, Columns and Bearing Piles - Dimensions and Section Properties","Hot Rolled Parallel Flange Steel Sections for Beams, Columns and Bearing Piles - Dimensions and Section Properties",Cement & Construction,,2004,archive_org_bis,False,
IS 13033,Straw Holding Clips,Straw Holding Clips,Food & Agriculture,,1990,archive_org_bis,True,scope_too_short (3 words)
IS 13050,Internal Combustion Engines - Valve Seat Inserts,Internal Combustion Engines - Valve Seat Inserts,Mechanical,,1991,archive_org_bis,True,scope_too_short (7 words)
IS 13057,Potassium iodate,Potassium iodate,Chemicals,Amendments: 1,1991,archive_org_bis,True,scope_too_short (2 words)
IS 13067,Impregnants for power capacitors,Impregnants for power capacitors,Electrical,,1991,archive_org_bis,True,scope_too_short (4 words)
IS 13082-2,"Bulk handling equipment - Ship unloader - Gantry mounted grab type - Code of practice for design, manufacture and erection, Part 2 Electro-mechanical requirements","Bulk handling equipment - Ship unloader - Gantry mounted grab type - Code of practice for design, manufacture and erection, Part 2 Electro-mechanical requirements",Mechanical,,1991,archive_org_bis,False,
IS 13103,"Hydraulic fluid power - Single rod cylinders, 160 bar (16 MPa) compact series - Port dimensions","Hydraulic fluid power - Single rod cylinders, 160 bar (16 MPa) compact series - Port dimensions",Mechanical,,2005,archive_org_bis,False,
IS 2974-5,"Code of practice for design and construction of machine foundations, Part 5: Foundations for impact machines other than hammer (forging and stamping press, pig breaker, drop crusher and jolter)","Code of practice for design and construction of machine foundations, Part 5: Foundations for impact machines other than hammer (forging and stamping press, pig breaker, drop crusher and jolter)",Cement & Construction,,1987,archive_org_bis,False,
IS 302 :,Safety of household and similar electrical appliances: Part 2 Particular requirements Section 26 Clocks,Safety of household and similar electrical appliances: Part 2 Particular requirements Section 26 Clocks,Electrical,Amendments: 0,2018,archive_org_bis,False,
IS 302-2-3,"Safety of household and similar electrical appliances, Part 2: Particular requirements, Section 3: Electric iron","Safety of household and similar electrical appliances, Part 2: Particular requirements, Section 3: Electric iron",Electrical,,2007,archive_org_bis,False,
IS 302-2-32,"Safety of household and similar electrical appliances, Part 2: Particular requirements: Section 32 Massage appliances","Safety of household and similar electrical appliances, Part 2: Particular requirements: Section 32 Massage appliances",Electrical,Amendments: 1,1994,archive_org_bis,False,
IS 3023,Recommended practice for building up by metal spraying,Recommended practice for building up by metal spraying,Cement & Construction,,1965,archive_org_bis,True,scope_too_short (8 words)
IS 3025-2,"Methods of Sampling and Test (Physical and Chemical) for Water and Waste Water, Part 2: Determination of 33 Elements by Inductively Coupled Plasma Atomic Emission Spectroscopy","Methods of Sampling and Test (Physical and Chemical) for Water and Waste Water, Part 2: Determination of 33 Elements by Inductively Coupled Plasma Atomic Emission Spectroscopy",Chemicals,,2004,archive_org_bis,False,
IS 3025-3,"Methods of Sampling and Test (Physical and Chemical) for Water and Wastewater, Part 3: Precision and Accuracy","Methods of Sampling and Test (Physical and Chemical) for Water and Wastewater, Part 3: Precision and Accuracy",Chemicals,Amendments: 1,1987,archive_org_bis,False,
IS 3660-2,"Methods of Test for Natural Rubber, Part 2: Determination of Volatile Matter","Methods of Test for Natural Rubber, Part 2: Determination of Volatile Matter",Petroleum,Amendments: 1,1985,archive_org_bis,False,
IS 3660-7,"Methods of Test for Natural Rubber, Part 7: Determination of Mooney Viscosity","Methods of Test for Natural Rubber, Part 7: Determination of Mooney Viscosity",Petroleum,,2013,archive_org_bis,False,
